ngl,Centre/location,Product code,Category,Sub-Category,Product title,Description,material,dimension (H*W*B),sizes/capacity,colors,Care Instruction,Features,Stock available,Sample photo,Cost B2C,Min. and Maximum ordering quantity,Cost B2B,Mininum and Maximum ordering quantity,Centre Poc name,Centre poc contact no.,Remark,,S.no.,Centre Name,Total beneficiaries at present,Beneficiary Testimonial,,,Centre testimonial
115,Fathenagar,CMP115,Pouch,Cosmetic Pouch,off-white cosmetic pouch bag,"This is a handmade, durable and easily washable off-white cosmetic pouch bag. It is made of cotton (Primary material), collared strip is buckrum (middle), non-woven fabric (inner material). The dimensions of the clutch are 8*6. The product has a zipper closure and perfect for placing all your cosmetics in a single bag.","Cotton, buckrum, non-woven fabric",8*6,,off-white ,hand wash only,"Handmade, Durable, easily washable",1,,100,,,,,,,,,,,,,,
116,Fathenagar,CMP116,Pouch,Cosmetic Pouch,Black handloom cosmetic pouch bag,"This is a handmade, durable and easily washable Black handloom cosmetic pouch bag. It is made of cotton (Primary material), collared strip is buckrum (middle), non-woven fabric (inner material). The dimensions of the clutch are 8*5. The product has a zipper closure and perfect for placing all your cosmetics in a single bag.","Cotton, buckrum, non-woven fabric",8*5,,Black ,hand wash only,"Handmade, Durable, easily washable",1,,,,,,,,,,,,,,,,
117,Fathenagar,CMP117,Pouch,Cosmetic Pouch,light orange coloured cotton cosmetic pouch bag,"This is a handmade, durable and easily washable light orange coloured cotton cosmetic pouch bag. It is made of cotton (Primary material), collared strip is buckrum (middle), non-woven fabric (inner material). The dimensions of the clutch are 8*5. The product has a zipper closure and perfect for placing all your cosmetics in a single bag.","Cotton, buckrum, non-woven fabric",8*5,,light orange ,hand wash only,"Handmade, Durable, easily washable",1,,,,,,,,,,,,,,,,
118,Fathenagar,CMP118,Pouch,Cosmetic Pouch,multicoloured cotton cosmetic pouch bag,"This is a handmade, durable and easily washable multicoloured cotton cosmetic pouch bag. It is made of cotton (Primary material), collared strip is buckrum (middle), non-woven fabric (inner material). The dimensions of the clutch are 10*8. The product has a zipper closure and perfect for placing all your cosmetics in a single bag.","Cotton, buckrum, non-woven fabric",10*8,,Multicoloured,hand wash only,"Handmade, Durable, easily washable",1,,,,,,,,,,,,,,,,
119,Fathenagar,CMP119,Pouch,Cosmetic Pouch,Grey and black cosmetic pouch bag,"This is a handmade, durable and easily washable Grey and black cosmetic pouch bag. It is made of cotton (Primary material), collared strip is buckrum (middle), non-woven fabric (inner material). The dimensions of the clutch are 9*7. The product has a zipper closure and perfect for placing all your cosmetics in a single bag.","Cotton, buckrum, non-woven fabric",9*7,,Black and grey,hand wash only,"Handmade, Durable, easily washable",1,,,,,,,,,,,,,,,,
120,Fathenagar,CMP120,Pouch,Cosmetic Pouch,Black handloom cotton cosmetic pouch bag,"This is a handmade, durable and easily washable Black handloom cotton cosmetic pouch bag. It is made of cotton (Primary material), collared strip is buckrum (middle), non-woven fabric (inner material). The dimensions of the clutch are 7*9. The product has a zipper closure and perfect for placing all your cosmetics in a single bag.","Cotton, buckrum, non-woven fabric",7*9,,Black ,hand wash only,"Handmade, Durable, easily washable",1,,,,,,,,,,,,,,,,
121,Fathenagar,CMP121,Pouch,Cosmetic Pouch,Rust red cotton cosmetic pouch bag,"This is a handmade, durable and easily washable Rust red cotton cosmetic pouch bag. It is made of cotton (Primary material), collared strip is buckrum (middle), non-woven fabric (inner material). The dimensions of the clutch are 10*8. The product has a zipper closure and perfect for placing all your cosmetics in a single bag.","Cotton, buckrum, non-woven fabric",10*8,,Rust red,hand wash only,"Handmade, Durable, easily washable",1,,,,,,,,,,,,,,,,
122,Fathenagar,CMP122,Pouch,Cosmetic Pouch,Brown coloured cotton cosmetic pouch bag,"This is a handmade, durable and easily washable Brown coloured cotton cosmetic pouch bag. It is made of cotton (Primary material), collared strip is buckrum (middle), non-woven fabric (inner material). The dimensions of the clutch are 10*9. The product has a zipper closure and perfect for placing all your cosmetics in a single bag.","Cotton, buckrum, non-woven fabric",10*9,,Brown,hand wash only,"Handmade, Durable, easily washable",1,,,,,,,,,,,,,,,,
123,Fathenagar,MP123,Money purse,Wallet,Black and pink cotton wallet,"This is a handmade, durable and easily washable Black and pink cotton wallet. It is made of cotton (Primary and inner material), collared strip is buckrum (middle). The product has a magnetic closure. The dimensions of the clutch are 9*4. It features additional compartments inside for holding cards.","Cotton, buckrum",9*4,,Black and pink,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
124,Fathenagar,MP124,Money purse,Wallet,Orange and black cotton wallet,"This is a handmade, durable and easily washable Orange and black cotton wallet. It is made of cotton (Primary and inner material), collared strip is buckrum (middle). The product has a magnetic closure. The dimensions of the clutch are 9*5. It features additional compartments inside for holding cards.","Cotton, buckrum",9*5,,Orange and black,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
125,Fathenagar,MP125,Money purse,Wallet,Grey and black cotton wallet,"This is a handmade, durable and easily washable Grey and black cotton wallet. It is made of cotton (Primary and inner material), collared strip is buckrum (middle). The product has a magnetic closure. The dimensions of the clutch are 9*5. It features additional compartments inside for holding cards.","Cotton, buckrum",9*5,,Grey and black,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
126,Fathenagar,GC126,Candle ,Gel candle,Glass candle,"This is a handmade, scented gel candle. The dimensions of the product are 4*8. The operating time of the gel candle is 2-4 hours. This sweet-scented gel candle is perfect for decorations and any special occasions.",Gel ,4h 8T,1,Yellow,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
127,Fathenagar,GC127,Candle ,Gel candle,Glass candle,"This is a handmade, scented gel candle. The dimensions of the product are 2*6. The operating time of the gel candle is 2-4 hours. This sweet-scented gel candle is perfect for decorations and any special occasions.","Gel wax,container material glass",2h 6T,1,Light pink,,,1,,200,,,,,,,,,,,,,,
128,Fathenagar,GC128,Candle ,Gel candle,Glass candle,"This is a handmade, scented gel candle. It contains gel wax and paraffin wax. The dimensions of the product are 4*9. The operating time of the gel candle is 2-4 hours. This sweet-scented gel candle is perfect for decorations and any special occasions.","Gel ,paraffin wax",4h 9T,1,Baby pink ,,,1,,450,,,,,,,,,,,,,,
129,Fathenagar,GC129,Candle ,Gel candle,Glass candle,"This is a handmade, scented gel candle. The dimensions of the product are 4*9. The bottom of the glass is filled with colour sand. The operating time of the gel candle is 2-4 hours. This sweet-scented gel candle is perfect for decorations and any special occasions.","Gel ,color sand",4h 9T,1,Dark blue ,,,1,,350,,,,,,,,,,,,,,
130,Fathenagar,GC130,Candle ,Gel candle,Glass candle,"This is a handmade, scented gel candle. The dimensions of the product are 4*9. The operating time of the gel candle is 2-4 hours. This sweet-scented gel candle is perfect for decorations and any special occasions.",Gel ,4h 9T,1,Grey ,,,1,,400,,,,,,,,,,,,,,
131,Fathenagar,GC131,Candle ,Gel candle,Glass candle,"This is a handmade, scented gel candle. The dimensions of the product are 4*9. The operating time of the gel candle is 2-4 hours. This sweet-scented gel candle is perfect for decorations and any special occasions.",Gel ,4h 9T,1,Red,,,1,,400,,,,,,,,,,,,,,
132,Fathenagar,GC132,Candle ,Gel candle,Glass candle,"This is a handmade, scented gel candle. The dimensions of the product are 4*8. The operating time of the gel candle is 2-4 hours. This sweet-scented gel candle is perfect for decorations and any special occasions.",Gel ,4h 8T,1,Green,,,1,,200,,,,,,,,,,,,,,
133,Fathenagar,GC133,Candle ,Gel candle,Glass candle,"This is a handmade, scented gel candle. The dimensions of the product are 3*9. The operating time of the gel candle is 2-4 hours. This sweet-scented gel candle is perfect for decorations and any special occasions.",Gel ,3h 9T,1,Yellow,,,1,,300,,,,,,,,,,,,,,
134,Fathenagar,GC134,Candle ,Gel candle,Glass candle,"This is a handmade, scented gel candle. The dimensions of the product are 4*9. The bottom of the glass is filled with colour sand. The operating time of the gel candle is 2-4 hours. This sweet-scented gel candle is perfect for decorations and any special occasions.","Gel, colour sand",4h 9T,1,Red,,,1,,300,,,,,,,,,,,,,,
135,Fathenagar,GC135,Candle ,Gel candle,Glass candle,"This is a handmade, scented gel candle. The dimensions of the product are 4*8. The operating time of the gel candle is 2-4 hours. This sweet-scented gel candle is perfect for decorations and any special occasions.","Gel ,paraffin wax",4h 9T,1,Pink and Dark blue,,,1,,400,,,,,,,,,,,,,,
136,Fathenagar,GC136,Candle ,Gel candle,Glass candle,"This is a handmade, scented gel candle. The dimensions of the product are 4*8. The operating time of the gel candle is 2-4 hours. This sweet-scented gel candle is perfect for decorations and any special occasions.",Gel ,4h 8T,,Off white,,,1,,300,,,,,,,,,,,,,,
137,Fathenagar,GC137,Candle ,Gel candle,Glass candle,"This is a handmade, scented gel candle. The dimensions of the product are 3*9. The operating time of the gel candle is 2-4 hours. This sweet-scented gel candle is perfect for decorations and any special occasions.",Gel ,3h 9T,,Light blue,,,1,,300,,,,,,,,,,,,,,
138,Fathenagar,BS138,Bangle,Bangle set,Thread Bangle,This product is handmade using silk thread and plastic bangles. It is embellished with white pearls and suitable for ethnic wear. The package comes in a set of 12 bangles.,silk Thread and stones,2.4s,12,White moti,,,1,,300,,,,,,,,,,,,,,
139,Fathenagar,BS139,Bangle,Bangle set,Thread Bangle,This product is handmade using silk thread and plastic bangles. It is embellished with red stones and suitable for ethnic wear. The package comes in a set of 6 bangles.,Thread and stones,2.6s,6,Red stones,,,1,,150,,,,,,,,,,,,,,
140,Fathenagar,BS140,Bangle,Bangle set,Thread Bangle,This product is handmade using silk thread and plastic bangles. It is embellished with light blue pearls and suitable for ethnic wear. The package comes in a set of 4 bangles.,Thread and stones,2.2S,4,Blue and yellow,,,1,,150,,,,,,,,,,,,,,
141,Fathenagar,BS141,Bangle,Bangle set,Thread Bangle,This product is handmade using silk thread and plastic bangles. It is embellished with white stones and suitable for ethnic wear. The package comes in a set of 4 bangles.,Thread and stones,2.4S,4,Golden with stone,,,1,,150,,,,,,,,,,,,,,
142,Fathenagar,BS142,Bangle,Bangle set,Thread Bangle,This product is handmade using silk thread and plastic bangles. It is embellished with light purple pearls and suitable for ethnic wear. The package comes in a set of 2 bangles.,Thread and stones,,2,Cream and light purple,,,1,,100,,,,,,,,,,,,,,
143,Fathenagar,BS143,Bangle,Bangle set,Thread Bangle,This product is handmade using silk thread and plastic bangles. It is embellished with golden beads and suitable for ethnic wear. The package comes in a set of 2 bangles.,Thread and stones,2.4S,2,Red,,,1,,100,,,,,,,,,,,,,,
144,Fathenagar,BS144,Bangle,Bangle set,Thread Bangle,"This product is handmade using silk thread and plastic bangles. It is embellished with stones and beads, suitable for ethnic wear. ",Thread and stones,2.2S,1,Red,,,1,,150,,,,,,,,,,,,,,
145,Fathenagar,BS145,Bangle,Bangle set,Thread Bangle,"This product is handmade using silk thread and plastic bangles. It is embellished with stones and beads, suitable for ethnic wear. ",Thread and stones,2.2S,1,Multi colours,,,1,,150,,,,,,,,,,,,,,
146,Fathenagar,BS146,Bangle,Bangle set,Thread Bangle,"This product is handmade using silk thread and plastic bangles. It is embellished with pearls and stones, suitable for ethnic wear. The package comes in a set of 2 bangles.",Thread and stones,2.8S,2,Pink with white stones,,,1,,150,,,,,,,,,,,,,,
147,Fathenagar,BS147,Bangle,Bangle set,Thread Bangle,This product is handmade using silk thread and plastic bangles. It is embellished with golden beads and suitable for ethnic wear. The package comes in a set of 4 bangles.,Thread and stones,2.8S,4,Sky blue,,,1,,200,,,,,,,,,,,,,,
148,Fathenagar,D148,Diya,Diya,Sand Diya,"These are handmade, beautifully designed multicoloured diyas. These are made of mud and natural colours. These come in a set of 2 and can be used indoor and outdoor. These diyas are perfect for all occasions like weddings, festivals etc.",Colors ,,2,Multi colours,,,1,,150,,,,,,,,,,,,,,
149,Fathenagar,D149,Diya,Diya,Sand Diya,"These are handmade, beautifully designed White and green coloured diyas. These are made of mud and natural colours. These come in a set of 2 and can be used indoor and outdoor. These diyas are perfect for all occasions like weddings, festivals etc.",Colors ,,2,White and Dark green,,,1,,150,,,,,,,,,,,,,,
150,Fathenagar,D150,Diya,Diya,Sand Diya,"These are handmade, beautifully designed multicoloured diyas. These are made of mud and natural colours. These come in a set of 2 and can be used indoor and outdoor. These diyas are perfect for all occasions like weddings, festivals etc.",Colors ,,2,Multicoloured,,,1,,150,,,,,,,,,,,,,,
151,Fathenagar,D151,Diya,Diya,Sand Diya,"These are handmade, beautifully designed Pink and golden coloured diyas. These are made of mud and natural colours. These come in a set of 2 and can be used indoor and outdoor. These diyas are perfect for all occasions like weddings, festivals etc.",Colors ,,2,Pink and Golden,,,1,,150,,,,,,,,,,,,,,
152,Fathenagar,D152,Diya,Diya,Sand Diya stand,"This is a handmade, beautifully designed multicoloured diya stand. It is made of mud and natural colours. It can be used indoor and outdoor. It is perfect for pooja room and for all occasions like weddings, festivals etc.",Colors ,,1,Multicoloured,,,1,,150,,,,,,,,,,,,,,
153,Fathenagar,D153,Diya,Diya,Sand Diya stand,"This is a handmade, beautifully designed green and yellow coloured diya stand. It is made of mud and natural colours. It can be used indoor and outdoor. It is perfect for pooja room and for all occasions like weddings, festivals etc.",Colors ,,1,Green and yellow,,,1,,150,,,,,,,,,,,,,,
154,Fathenagar,D154,Diya,Diya,Sand Diya stand,"This is a handmade, beautifully designed multicoloured diya stand. It is made of mud and natural colours. It can be used indoor and outdoor. It is perfect for pooja room and for all occasions like weddings, festivals etc.",Colors ,,1,Multicoloured,,,1,,150,,,,,,,,,,,,,,
155,Fathenagar,D155,Diya,Diya,Sand Diya stand,"This is a handmade, beautifully designed Orange and golden coloured diya stand. It is made of mud and natural colours. It can be used indoor and outdoor. It is perfect for pooja room and for all occasions like weddings, festivals etc.",Colors ,,1,Orange and golden,,,1,,150,,,,,,,,,,,,,,
156,Fathenagar,D156,Diya,Diya,Sand Diya stand,"This is a handmade, beautifully designed multicoloured diya stand. It is made of mud and natural colours. It can be used indoor and outdoor. It is perfect for pooja room and for all occasions like weddings, festivals etc.",Colors ,,1,Multicoloured,,,1,,150,,,,,,,,,,,,,,
157,Fathenagar,D157,Diya,Diya,Sand Diya stand,"This is a handmade, beautifully designed Orange and blue coloured diya stand. It is made of mud and natural colours. It can be used indoor and outdoor. It is perfect for pooja room and for all occasions like weddings, festivals etc.",Colors ,,1,Orange and blue,,,1,,150,,,,,,,,,,,,,,
158,Fathenagar,D158,Diya,Diya,Sand Diya,"These are handmade, beautifully designed Dark blue coloured diyas. These are made of mud and natural colours. These come in a set of 2 and can be used indoor and outdoor. These diyas are perfect for all occasions like weddings, festivals etc.",Colors ,,2,Dark blue,,,1,,180,,,,,,,,,,,,,,
159,Fathenagar,D159,Diya,Diya,Sand Diya,"These are handmade, beautifully designed multicoloured diyas. These are made of mud and natural colours. These come in a set of 2 and can be used indoor and outdoor. These diyas are perfect for all occasions like weddings, festivals etc.",Colors ,,2,Multicoloured,,,1,,180,,,,,,,,,,,,,,
160,Fathenagar,D160,Diya,Diya,Sand Diya,"These are handmade, beautifully designed multicoloured diyas. These are made of mud and natural colours. These come in a set of 2 and can be used indoor and outdoor. These diyas are perfect for all occasions like weddings, festivals etc.",Colors ,,2,Multi colours,,,1,,180,,,,,,,,,,,,,,
161,Fathenagar,D161,Diya,Diya,Sand Diya,"These are handmade, beautifully designed multicoloured diyas. These are made of mud and natural colours. These come in a set of 2 and can be used indoor and outdoor. These diyas are perfect for all occasions like weddings, festivals etc.",Colors ,,2,Green and blue,,,1,,180,,,,,,,,,,,,,,
162,Fathenagar,D162,Diya,Diya,Sand Diya,"These are handmade, beautifully designed Blue and golden coloured diyas. These are made of mud and natural colours. These come in a set of 2 and can be used indoor and outdoor. These diyas are perfect for all occasions like weddings, festivals etc.",Colors ,,2,Blue and golden,,,1,,180,,,,,,,,,,,,,,
163,Fathenagar,D163,Diya,Diya,Sand Diya,"These are handmade, beautifully designed Golden with Blue coloured diyas. These are made of mud and natural colours. These come in a set of 2 and can be used indoor and outdoor. These diyas are perfect for all occasions like weddings, festivals etc.",Colors ,,2,Golden with Blue,,,1,,180,,,,,,,,,,,,,,
164,Fathenagar,D164,Diya,Diya,Sand Diya,"These are handmade, beautifully designed Blue and yellow coloured diyas. These are made of mud and natural colours. These come in a set of 2 and can be used indoor and outdoor. These diyas are perfect for all occasions like weddings, festivals etc.",Colors ,,2,Blue and yellow,,,1,,180,,,,,,,,,,,,,,
165,Fathenagar,D165,Diya,Diya,Sand Diya,"These are handmade, beautifully designed Orange and red coloured diyas. These are made of mud and natural colours. These come in a set of 2 and can be used indoor and outdoor. These diyas are perfect for all occasions like weddings, festivals etc.",Colors ,,2,Orange and red,,,1,,180,,,,,,,,,,,,,,
166,Fathenagar,D166,Diya,Diya,Sand Diya,"These are handmade, beautifully designed Off-white and green coloured diyas. These are made of mud and natural colours. These come in a set of 2 and can be used indoor and outdoor. These diyas are perfect for all occasions like weddings, festivals etc.",Colors ,,2,Off-white and green,,,1,,180,,,,,,,,,,,,,,
167,Fathenagar,D167,Diya,Diya,Sand Diya,"These are handmade, beautifully designed multicoloured diyas. These are made of mud and natural colours. These come in a set of 2 and can be used indoor and outdoor. These diyas are perfect for all occasions like weddings, festivals etc.",Colors ,,2,Multicoloured,,,1,,180,,,,,,,,,,,,,,
168,Fathenagar,D168,Diya,Diya,Sand Diya,"These are handmade, beautifully designed multicoloured diyas. These are made of mud and natural colours. These come in a set of 2 and can be used indoor and outdoor. These diyas are perfect for all occasions like weddings, festivals etc.",Colors ,,2,Purple and green,,,1,,180,,,,,,,,,,,,,,
169,Fathenagar,DS169,Diya,Diya,Sand Diya,"These are handmade, beautifully designed Orange and blue coloured diyas. These are made of mud and natural colours. These come in a set of 2 and can be used indoor and outdoor. These diyas are perfect for all occasions like weddings, festivals etc.",Colors ,,2,Orange and blue,,,1,,60,,,,,,,,,,,,,,
170,Fathenagar,DS170,Diya,Diya,Sand Diya,"These are handmade, beautifully designed Orange and light green coloured diyas. These are made of mud and natural colours. These come in a set of 2 and can be used indoor and outdoor. These diyas are perfect for all occasions like weddings, festivals etc.",Colors ,,2,Orange and light green,,,1,,60,,,,,,,,,,,,,,
171,Fathenagar,DS171,Diya,Diya,Sand Diya,"These are handmade, beautifully designed pink and orange coloured diyas. These are made of mud and natural colours. These come in a set of 2 and can be used indoor and outdoor. These diyas are perfect for all occasions like weddings, festivals etc.",Colors ,,2,pink and orange,,,1,,60,,,,,,,,,,,,,,
172,Fathenagar,DS172,Diya,Diya,Sand Diya,"These are handmade, beautifully designed Black and pink coloured diyas. These are made of mud and natural colours. These come in a set of 2 and can be used indoor and outdoor. These diyas are perfect for all occasions like weddings, festivals etc.",Colors ,,2,Black and pink,,,1,,60,,,,,,,,,,,,,,
173,Fathenagar,D173,Diya,Diya,Sand Diya stand,"This is a handmade, beautifully designed plain diya stand. It is made of mud. It can be used indoor and outdoor. It is perfect for pooja room and all occasions like weddings, festivals etc.",Colors ,,1,Plain,,,1,,100,,,,,,,,,,,,,,
174,Fathenagar,DS174,Diya,Diya,Sand Diya,"These are handmade, beautifully designed plain diyas. These are made of mud. These come in a set of 2 and can be used indoor and outdoor. These diyas are perfect for all occasions like weddings, festivals etc.",Colors ,,2,Plain,,,1,,100,,,,,,,,,,,,,,
175,Fathenagar,ER175,Ear rings,Jhumka Earrings,Red and golden coloured jhumka earrings,"These are handmade and beautifully designed, red and golden coloured jhumka earrings. These are embellished with beads and pearls. These double layered jhumkas are perfect for ethnicwear.",Lase and moti and hanger,,2,Red and golden,,,1,,150,,,,,,,,,,,,,,
176,Fathenagar,ER176,Ear rings,Jhumka Earrings,Green and golden coloured jhumka earrings,"These are handmade and beautifully designed, green and golden coloured jhumka earrings. These are embellished with beads and pearls. These double layered jhumkas are perfect for ethnicwear.",Lase and moti and hanger,,2,Green and golden,,,1,,150,,,,,,,,,,,,,,
177,Fathenagar,DS177,Diyya,Diyya,Small diyya,"These are handmade, beautifully designed plain diyas. These are made of mud. These come in a set of 2 and can be used indoor and outdoor. These diyas are perfect for all occasions like weddings, festivals etc.",Plain,,2,Plain,,,1,,20,,,,,,,,,,,,,,
178,Fathenagar,DS178,Diyya,Diyya,Small diyya,"These are handmade, beautifully designed plain diyas. These are made of mud. These come in a set of 2 and can be used indoor and outdoor. These diyas are perfect for all occasions like weddings, festivals etc.",Plain,,2,Plain,,,1,,15,,,,,,,,,,,,,,
179,Fathenagar,DS179,Diyya,Diyya,Small diyya,"These are handmade, beautifully designed plain diyas. These are made of mud. These come in a set of 2 and can be used indoor and outdoor. These diyas are perfect for all occasions like weddings, festivals etc.",Plain,,2,Plain,,,1,,20,,,,,,,,,,,,,,
180,Fathenagar,BS180,Bangle stand,Hanging stand,Bangle stand,"This is a beautifully handmade, durable, cream coloured bangle stand. It is embellished with blue beads to make it more attractive and can be used as a wall decor. The dimensions of the stand are 31*11.  It features 3 stands and a set of dozen bangles can be placed on each stand. capacity of the stand is 3x12 (dozen) bangles.",Colours,31*11,4,Cream,,,1,,450,,,,,,,,,,,,,,
181,Fathenagar,BS181,Bangle stand,Hanging stand,Bangle stand,"This is a beautifully handmade, durable, green coloured bangle stand. It is embellished with red beads to make it more attractive and can be used as a wall decor. The dimensions of the stand are 19*10.  It features 2 stands and a set of dozen bangles can be placed on each stand. capacity of the stand is 2x12 (dozen) bangles.",Stices and Threads,19*10,2,Green and brown,,,1,,350,,,,,,,,,,,,,,
182,Fathenagar,DH182,Door Hanging,Door Hanging,Door Hanging,"This is a beautifully handmade and durable, yellow and blue coloured door hanging. The dimensions of the product are 36*13. It is perfect for entrance doors.",Stices and Threads,36*13,,Dark blue and yellow,,,1,,599,,,,,,,,,,,,,,
183,Fathenagar,DH183,Door Hanging,Door Hanging,Door Hanging,"This is a beautifully handmade and durable, sky blue coloured door hanging. The dimensions of the product are 34*6. It is perfect for entrance doors.",Stices and Threads,34*6,,Sky blue,,,1,,450,,,,,,,,,,,,,,
184,Fathenagar,DH184,Door Hanging,Door Hanging,Door Hanging,"This is a beautifully handmade and durable, orange and green coloured door hanging. The dimensions of the product are 33*7. It is perfect for entrance doors.",Stices and Threads,33*7,,Green and orange,,,1,,399,,,,,,,,,,,,,,
185,Fathenagar,BS185,Bangles,Bangle set,Thread Bangle,This product is handmade using silk thread and plastic bangles. It is embellished with white stones and suitable for ethnic wear. The package comes in a set of 6 bangles.,Thread and stones,2.4S,6,Red and golden,,,1,,150,,,,,,,,,,,,,,
186,Fathenagar,WMH186,Wall Hanging ,Wall mobile hanging,Macrame,"This is a  beautifully handmade, durable, yellow coloured macrame wall mobile hanging. It is embellished with purple coloured beads. The dimensions of the product are 20*5. It is perfect to use at home and office spaces.",Macrame,20*5,1,Yellow and purple,,,1,,499,,,,,,,,,,,,,,
187,Fathenagar,PS187,Pen,Pen stand ,Stand,"This is a beautifully handmade, durable, light green coloured penstand. The dimensions of the product are 20*5. It is perfectly suitable for study tables, office tables and makes your table look more attractive.",Macrame,20*5,1,Green,,,1,,300,,,,,,,,,,,,,,
188,Fathenagar,PS188,Pen,Pen stand ,Stand,"This is a beautifully handmade, durable, skyblue coloured penstand. The dimensions of the product are 9*5. It is perfectly suitable for study tables, office tables and makes your table look more attractive.",Macrame,9*5,1,Sky blue,,,1,,300,,,,,,,,,,,,,,
189,Fathenagar,PS189,Pen,Pen stand ,Stand,"This is a beautifully handmade, durable, blue coloured penstand. The dimensions of the product are 9*5. It is perfectly suitable for study tables, office tables and makes your table look more attractive.",Macrame,9*5,1,Dark blue,,,1,,300,,,,,,,,,,,,,,
190,Fathenagar,KC190,Key ,Keychain,Yellow and blue coloured macrame keychain,"This is a beautifully handmade, durable, yellow and blue coloured macrame keychain. It is embellished with beads to make it more attractive. It is perfect to hold all your keys at place in style.",Macrame,,1,Yellow and blue,,,1,,45,,,,,,,,,,,,,,
191,Fathenagar,KC191,Key ,Keychain,Red coloured macrame keychain,"This is a beautifully handmade, durable, red coloured macrame keychain. It is perfect to hold all your keys at place in style.",Macrame,,1,Red,,,1,,30,,,,,,,,,,,,,,
192,Fathenagar,KC192,Key ,Keychain,Yellow and light pink coloured macrame keychain,"This is a beautifully handmade, durable, yellow and light pink coloured macrame keychain. It is embellished with beads to make it more attractive. It is perfect to hold all your keys at place in style.",Macrame,,1,Baby pink and yellow,,,1,,45,,,,,,,,,,,,,,
193,Fathenagar,KC193,Key ,Keychain,Orange coloured macrame keychain,"This is a beautifully handmade, durable, orange coloured macrame keychain. It is perfect to hold all your keys at place in style.",Macrame,,1,Orange,,,1,,20,,,,,,,,,,,,,,
194,Fathenagar,KC194,Key ,Keychain,Pink coloured macrame keychain,"This is a beautifully handmade, durable, pink coloured macrame keychain. It is perfect to hold all your keys at place in style.",Macrame,,1,Pink,,,1,,20,,,,,,,,,,,,,,
195,Fathenagar,KC195,Key ,Keychain,Yellow coloured macrame keychain,"This is a beautifully handmade, durable, yellow coloured macrame keychain. It is perfect to hold all your keys at place in style.",Macrame,,1,Yellow small,,,1,,25,,,,,,,,,,,,,,
196,Fathenagar,KC196,Key ,Keychain,Red coloured macrame keychain,"This is a beautifully handmade, durable, red coloured macrame keychain. It is perfect to hold all your keys at place in style.",Macrame,,1,Small red,,,1,,20,,,,,,,,,,,,,,
197,Fathenagar,KC197,Key ,Keychain,Yellow coloured macrame keychain,"This is a beautifully handmade, durable, Yellow coloured macrame keychain. It is perfect to hold all your keys at place in style.",Macrame,,1,Yellow,,,1,,45,,,,,,,,,,,,,,
198,Fathenagar,KC198,Key ,Keychain,Pink and skyblue coloured macrame keychain,"This is a beautifully handmade, durable, pink and skyblue coloured macrame keychain. It is embellished with beads to make it more attractive. It is perfect to hold all your keys at place in style.",Macrame,,1,Pink and sky blue,,,1,,45,,,,,,,,,,,,,,
199,Fathenagar,KC199,Key ,Keychain,Green and yellow coloured macrame keychain,"This is a beautifully handmade, durable, green and yellow coloured macrame keychain. It is embellished with beads to make it more attractive. It is perfect to hold all your keys at place in style.",Macrame,,1,Green and yellow,,,1,,45,,,,,,,,,,,,,,
200,Fathenagar,CB200,Confarance bag,Confarance,Cotton bag,"This is a handmade, durable, cotton bag. It is very easy to carry books and your personal stuff. It can be used as a backpack for school, college and office. The dimensions of the bag are 16*14. It includes a zipper pocket on the outside to hold card,pens etc.",Canvas cloth ,16*14,1,White,,,1,,250,,,,,,,,,,,,,,
201,Fathenagar,CLB201,Lunch bag,Canvas ,Cotton bag,"This is a handmade, durable, cotton lunch bag. It is made of cotton and lined with maroon handloom printed cotton. It has zipper closure and features an additional zipper pocket on the rear side of bag. It includes elastic water bottle holder. The dimensions of the product are 12*12 and is perfect to use for schools, colleges and offices.",Canvas cloth ,12*12,1,White and meroon,,,1,,400,,,,,,,,,,,,,,
202,Fathenagar,CB202,Carry Bags,Carry,Cotton bag,"This is a handmade, durable, cotton backpack. It has clasp enclosure. The dimensions of the bag are 18*15. It has clasp enclosure. It features adjustable straps and has an additional zipper pocket on the front side of the bag and adjustable straps. ",Ctton Cloth,18*15,1,Off white,,,1,,30,,,,,,,,,,,,,,
203,Fathenagar,CB203,Canvas,Canvas ,Cotton bag,Cotton bag,Ctton Cloth,16*41,1,Off White,,,1,,350,,,,,,,,,,,,,,
204,Fathenagar,EB204,Envolape ,Envelope bag,Cotton bag,"This is a handmade, durable, green coloured envelope bag. It is made of cotton. The dimensions of the bag are 12*10. It has a zipper closure. It features an additional pocket on the front side of the bag.",Ctton Cloth,12*10,1,Green ,,,1,,350,,,,,,,,,,,,,,
205,Boraband,JBB205,Water bottle bag,Bottle bag,Jute bag,"This is a handmade, durable, sky blue bottle bag. It is made of jute. The dimensions of the bag are 12*6*5. This easily carryable bottle bag is perfect for schools, colleges, offices, picnics etc.",Jute,12*6*5,1,Sky blue,,,1,,100,,,,,,,,,,,,,,
